Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2025,CIN,358,0.106145251,0.229050279,0.463414634,0.268987341,0.349162011,0.427215189,0.7763772,0.158227848,0.331858407,49.54525807970423,8.238773857292125,0.3422689411227264,112.49718323230124
2025,TOR,337,0.074183976,0.21661721,0.342465753,0.265372168,0.31845238,0.398058252,0.716510632,0.132686084,0.32173913,39.3649677875213,0.4814896228484453,0.3153422347136906,103.99062580899256
2025,PHI,368,0.095108695,0.217391304,0.4375,0.274390243,0.345108695,0.420731707,0.765840402,0.146341464,0.331950207,49.47971509100912,7.019418460149743,0.3373324770642363,115.19018032726191
2025,CHC,355,0.092957746,0.245070422,0.379310344,0.256329113,0.329577464,0.455696202,0.785273666,0.199367089,0.307339449,48.93575967150775,7.975419171629827,0.341582937811462,121.16559639364064
2025,SEA,357,0.095238095,0.218487394,0.435897435,0.272151898,0.352941176,0.54113924,0.894080416,0.268987342,0.291666666,61.56211397288836,20.371010991320983,0.3849411030777362,157.5646036281677
2025,LAD,344,0.072674418,0.229651162,0.316455696,0.258785942,0.311046511,0.488817891,0.799864402,0.230031949,0.285067873,47.76239753840551,8.071250687819562,0.3428324209742768,121.12970252743985
2025,SFG,338,0.094674556,0.22781065,0.415584415,0.216666666,0.295857988,0.36,0.655857988,0.143333334,0.254629629,33.20318721140526,-5.795672194112315,0.2919367504190411,87.02907468729518
2025,MIA,329,0.09118541,0.234042553,0.389610389,0.23549488,0.306990881,0.368600682,0.675591563,0.133105802,0.284360189,34.35192481439274,-3.608503423522312,0.299680611645197,87.67805568632072
2025,STL,337,0.09198813,0.181008902,0.508196721,0.224422442,0.299703264,0.313531353,0.613234617,0.089108911,0.264705882,29.38194130111105,-9.501536863561803,0.2780910974440306,76.93300072881893
2025,TEX,339,0.088495575,0.21238938,0.416666666,0.231023102,0.300884955,0.356435643,0.657320598,0.125412541,0.269911504,33.41313609255686,-5.701104553805446,0.2923497591046808,87.06008681592397
2025,WSN,352,0.085227272,0.207386363,0.410958904,0.265175718,0.338068181,0.463258785,0.801326966,0.198083067,0.304347826,50.5495220012626,9.935325223918856,0.3488010753962127,124.26282660441096
2025,MIN,337,0.083086053,0.258160237,0.32183908,0.238255033,0.3125,0.38590604,0.69840604,0.147651007,0.297560975,37.62098023370209,-1.2624979309707551,0.3088601792142504,98.58324342854266
2025,TBR,344,0.078488372,0.194767441,0.402985074,0.26045016,0.328488372,0.440514469,0.769002841,0.180064309,0.29004329,46.24451527599396,6.55336842540802,0.3373023768843606,121.82432460818424
2025,CHW,343,0.102040816,0.239067055,0.426829268,0.235294117,0.314868804,0.437908496,0.7527773,0.202614379,0.271428571,43.95982935949807,4.384063749756857,0.3294455961652817,112.31334267510464
2025,NYM,349,0.085959885,0.212034383,0.405405405,0.252396166,0.323782234,0.453674121,0.777456355,0.201277955,0.28318584,47.31783697126964,7.049783916460067,0.3387429803012093,120.16978778741397
2025,HOU,323,0.055727554,0.222910216,0.25,0.236666666,0.284829721,0.343333333,0.628163054,0.106666667,0.283783783,28.40409640904503,-8.86404438380165,0.2790330764678979,78.63895895457709
2025,BAL,329,0.057750759,0.237082066,0.243589743,0.245847176,0.303951367,0.398671096,0.702622463,0.15282392,0.294392523,36.88235732865205,-1.0780709092629872,0.309319963027641,100.91217832273642
2025,NYY,368,0.086956521,0.252717391,0.344086021,0.291793313,0.356948228,0.598784194,0.955732422,0.306990881,0.33488372,69.27263976648129,26.812343135621905,0.4043755555739168,165.15566684059928
2025,ARI,345,0.08115942,0.237681159,0.341463414,0.265372168,0.330434782,0.472491909,0.802926691,0.207119741,0.310185185,49.17489633373719,9.36836824230653,0.3474592295245848,121.67976340380088
2025,LAA,350,0.074285714,0.282857142,0.262626262,0.265822784,0.331428571,0.531645569,0.86307414,0.265822785,0.307692307,56.40442134110485,16.020987045450546,0.3707947945594788,139.6492887782262
2025,ATH,365,0.087671232,0.216438356,0.405063291,0.269696969,0.336986301,0.43030303,0.767289331,0.160606061,0.323651452,49.08768185429313,6.973528945967939,0.3373713940790255,118.62331878433416
2025,CLE,320,0.084375,0.234375,0.36,0.238754325,0.304075235,0.363321799,0.667397034,0.124567474,0.3,32.33408320813636,-4.587913862176135,0.2950045963128407,89.90428283504818
2025,PIT,342,0.099415204,0.269005847,0.369565217,0.220394736,0.304093567,0.381578947,0.685672514,0.161184211,0.280788177,36.98735555157519,-2.473028817321308,0.3043641495077233,90.89632789424918
2025,COL,317,0.059936908,0.302839116,0.197916666,0.2,0.25,0.369491525,0.619491525,0.169491525,0.25,25.93477457024458,-10.641078777533744,0.2709567643041852,58.625019804283546
2025,MIL,344,0.098837209,0.241279069,0.409638554,0.248366013,0.322674418,0.359477124,0.682151542,0.111111111,0.315068493,37.34015123027851,-2.3509956203074305,0.3048614379624987,93.59776221823368
2025,KCR,346,0.060693641,0.202312138,0.3,0.2625,0.312138728,0.415625,0.727763728,0.153125,0.311475409,41.2128463315701,1.2909369992947064,0.3181027695967283,100.28948381477024
2025,BOS,370,0.105405405,0.262162162,0.402061855,0.249221183,0.34054054,0.44859813,0.78913867,0.199376947,0.306603773,52.211257347260215,9.520198234711382,0.3456740226294543,118.54677729617532
2025,SDP,348,0.077586206,0.155172413,0.5,0.279365079,0.338150289,0.441269841,0.77942013,0.161904762,0.311023622,47.661922609749645,7.509250795784806,0.340727231406063,121.63930147457424
2025,ATL,334,0.110778443,0.254491017,0.435294117,0.221088435,0.305389221,0.391156462,0.696545683,0.170068027,0.265,37.01716983151945,-1.5201646106192204,0.3077225545923153,94.62209798460717
2025,DET,361,0.091412742,0.216066481,0.423076923,0.275541795,0.346260387,0.46749226,0.813752647,0.191950465,0.327659574,53.46982555045436,11.817197605508074,0.3544524562986273,131.29914712973857
